1924,2009-04-05,7010,ATL,PHI,4,1,2.00,1.64,1.50,2.15,home,8.5,1.80,1.74
1925,2009-04-06,1001,NYM,CIN,2,1,1.45,2.37,1.77,1.83,away,7.5,1.94,1.68
1926,2009-04-06,1002,CLE,TEX,1,9,1.65,1.98,1.98,1.65,away,9.5,1.71,1.90
1927,2009-04-06,1005,COL,ARI,8,9,2.35,1.46,1.64,2.00,home,7.5,1.68,1.94
1928,2009-04-06,1006,NYY,BAL,5,10,1.38,2.46,1.61,1.96,away,8.5,1.75,1.79
1929,2009-04-06,1007,WSH,FLA,6,12,2.32,1.47,1.64,2.00,home,8.5,1.89,1.72
1930,2009-04-06,1008,PIT,STL,6,4,2.50,1.41,1.68,1.94,home,7.5,1.75,1.85
1931,2009-04-06,1009,CHC,HOU,4,2,1.78,1.82,1.41,2.50,home,7.5,1.71,1.90
1932,2009-04-06,1010,LAD,SD ,4,1,2.03,1.62,1.44,2.40,home,6.5,1.71,1.90
1933,2009-04-06,1011,DET,TOR,5,12,2.25,1.50,1.60,2.05,home,7.5,1.83,1.77
1934,2009-04-06,1012,SEA,MIN,6,1,2.06,1.60,1.50,2.25,home,7.5,1.98,1.65
1935,2009-04-06,1013,OAK,LAA,0,3,2.06,1.60,1.53,2.10,home,8.5,1.82,1.72
1946,2009-04-06,1003,KC ,CWS,2,4,2.04,1.61,1.50,2.25,home,7.5,1.70,1.91
1947,2009-04-06,1004,TB ,BOS,3,5,2.25,1.50,1.55,2.15,home,8.5,1.75,1.85
1936,2009-04-07,2008,MIL,SF ,6,10,2.30,1.48,1.58,2.10,home,7.5,1.97,1.66
1937,2009-04-07,2009,ATL,PHI,4,0,1.89,1.72,1.44,2.40,home,8.5,1.71,1.90
1938,2009-04-07,2010,DET,TOR,4,5,1.91,1.70,1.50,2.25,home,9.5,1.88,1.73
1939,2009-04-07,2011,WSH,FLA,3,8,2.32,1.47,1.65,1.98,home,8.5,1.72,1.89
1940,2009-04-07,2012,CHC,HOU,2,3,1.73,1.88,2.10,1.58,away,8.5,1.97,1.66
1941,2009-04-07,2013,SEA,MIN,5,6,1.89,1.72,1.44,2.40,home,8.5,2.06,1.60
1942,2009-04-07,2014,PIT,STL,3,9,2.38,1.45,1.64,2.00,home,8.5,1.91,1.70
1943,2009-04-07,2015,COL,ARI,3,0,2.30,1.48,1.60,2.06,home,8.5,1.75,1.85
1944,2009-04-07,2016,LAD,SD ,2,4,1.71,1.90,2.10,1.53,away,7.5,1.80,1.74
1945,2009-04-07,2017,OAK,LAA,6,4,1.95,1.67,1.44,2.30,home,9.5,1.88,1.67
1948,2009-04-08,3008,WSH,FLA,4,6,2.25,1.50,1.55,2.15,home,8.5,1.67,1.95
1949,2009-04-08,3009,ATL,PHI,11,12,1.90,1.71,1.39,2.55,home,8.5,1.67,1.95
1950,2009-04-08,3010,COL,ARI,9,2,2.06,1.60,1.50,2.25,home,9.5,1.70,1.91
1951,2009-04-08,3011,NYY,BAL,5,7,1.48,2.30,1.77,1.77,away,9.5,1.84,1.70
1952,2009-04-08,3012,DET,TOR,5,1,2.03,1.62,1.50,2.25,home,9.5,1.80,1.80
1953,2009-04-08,3013,NYM,CIN,9,7,1.80,1.80,1.30,2.93,home,8.5,1.91,1.70
1954,2009-04-08,3014,TB ,BOS,7,2,2.25,1.50,1.55,2.15,home,8.5,1.90,1.71
1955,2009-04-08,3015,CHC,HOU,11,6,1.60,2.06,2.05,1.60,away,8.5,1.60,2.06
